id,work_year,experience_level,employment_type,job_title,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary
0,2024.0,,FT,Data Engineer,USD,US,0.0,US,M,138000
1,2024.0,SE,FT,Software Engineer,USD,US,2.0,,M,180000
2,2024.0,,FT,Machine Learning Engineer,USD,US,0.0,US,M,118500
3,2024.0,,,Data Engineer,USD,US,0.0,US,M,180000
4,2024.0,SE,FT,Product Manager,USD,US,0.0,US,,204000
5,,,FT,Data Management Analyst,USD,US,0.0,US,M,70000
10,2023.0,SE,FT,Machine Learning Engineer,USD,US,,US,,276000
11,,,FT,Consultant,USD,US,0.0,US,M,125000
12,2024.0,MI,,Data Scientist,USD,US,2.0,,M,135000
13,,SE,FT,Business Intelligence Engineer,USD,US,0.0,,L,202800
14,,,FT,Data Engineer,GBP,GB,2.0,GB,M,81250
15,,MI,,Data Scientist,USD,US,0.0,US,M,235400
16,2024.0,MI,,Data Scientist,USD,US,0.0,US,M,146300
18,2024.0,SE,FT,Data Analytics Lead,USD,US,,US,M,216000
20,,,,AI Scientist,USD,US,0.0,US,M,250000
21,,MI,FT,Research Scientist,USD,US,,US,M,208000
22,2024.0,,FT,Data Manager,GBP,GB,,GB,M,38525
24,2024.0,EN,FT,Data Analyst,USD,US,0.0,US,M,92900
26,2024.0,SE,FT,Analytics Engineer,USD,US,0.0,US,M,175000
27,2024.0,,FT,Analytics Engineer,USD,US,2.0,US,M,160000
28,2024.0,SE,FT,Data Engineer,USD,US,0.0,US,M,500000
30,2024.0,MI,FT,Software Engineer,USD,US,,US,M,184662
31,2024.0,SE,FT,Data Analyst,USD,US,0.0,US,M,140000
33,2024.0,SE,FT,Data Scientist,USD,US,0.0,US,L,247600
34,2023.0,SE,,Research Scientist,USD,US,0.0,US,M,230000
35,,EN,FT,Data Analyst,USD,US,0.0,US,M,125000
36,,EN,FT,Data Analyst,USD,US,0.0,US,M,220611
37,,,FT,Product Manager,USD,,,US,M,194000
38,2024.0,SE,FT,Data Scientist,USD,US,,US,M,169200
39,2023.0,SE,FT,Machine Learning Engineer,USD,,2.0,CA,M,260000
40,2024.0,SE,FT,Data Governance Engineer,USD,US,0.0,,M,137000
41,2024.0,EN,FT,Machine Learning Engineer,USD,,0.0,US,M,168150
42,2024.0,MI,FT,Software Engineer,USD,US,0.0,,M,237500
43,2024.0,SE,FT,Applied Scientist,USD,,,US,,294000
44,,SE,,Data Analyst,USD,US,2.0,US,M,128000
45,2024.0,SE,,Software Engineer,USD,US,0.0,US,,240000
46,2024.0,,FT,Data Analyst,USD,,0.0,US,,75000
47,2024.0,SE,,Software Engineer,USD,US,,US,M,122100
48,2024.0,SE,FT,Research Scientist,USD,,0.0,US,M,240000
49,2024.0,MI,,Data Scientist,USD,US,0.0,US,,76128
50,2024.0,SE,FT,Data Engineer,USD,US,0.0,US,M,166000
53,2024.0,MI,FT,Data Engineer,USD,,2.0,US,,148000
54,,SE,FT,Data Engineer,USD,US,0.0,US,M,161800
55,2024.0,SE,FT,Machine Learning Engineer,USD,,,US,M,194000
56,,SE,FT,Engineer,USD,,0.0,US,M,245000
57,2023.0,SE,FT,Data Scientist,USD,US,,US,,134000
58,,SE,FT,Data Scientist,USD,US,,US,M,240000
59,2023.0,MI,FT,BI Developer,USD,US,0.0,US,M,100000
61,2024.0,SE,FT,Engineer,USD,,0.0,US,M,200000
64,2024.0,SE,FT,Software Engineer,USD,US,0.0,US,,140000
66,2024.0,SE,FT,Data Scientist,USD,US,,,M,243000
68,2024.0,SE,,Data Engineer,USD,US,,,,110000
69,2024.0,SE,FT,Software Engineer,USD,US,0.0,US,M,124000
70,,,,Robotics Engineer,USD,US,0.0,US,M,419750
71,2024.0,EN,,Data Analyst,USD,US,0.0,US,M,67725
73,2023.0,MI,,Data Scientist,USD,US,0.0,US,M,77900
74,2024.0,,,Data Analyst,USD,US,0.0,,M,100000
75,2024.0,MI,FT,Software Engineer,USD,US,0.0,,M,145000
76,,EN,FT,Data Visualization Analyst,USD,US,0.0,,M,100996
79,2024.0,SE,FT,Research Engineer,USD,US,0.0,,M,300200
80,2024.0,MI,FT,Business Intelligence Engineer,USD,,0.0,US,L,185000
81,2024.0,SE,FT,Research Engineer,USD,US,,US,M,146994
82,2024.0,SE,FT,Engineer,USD,,,,M,230000
83,,SE,FT,Data Scientist,USD,US,,US,M,172000
84,2024.0,SE,,Data Management Specialist,USD,US,0.0,US,M,125338
86,2024.0,,FT,Solutions Architect,USD,US,2.0,US,M,165000
87,2024.0,SE,FT,Software Engineer,USD,US,0.0,US,,182400
88,2024.0,MI,FT,Data Scientist,USD,,,US,,124000
89,2024.0,,FT,Data Manager,USD,US,2.0,US,M,177500
90,2024.0,SE,FT,Research Scientist,USD,,0.0,US,,230230
91,2024.0,SE,FT,Machine Learning Scientist,USD,US,2.0,US,,150000
92,2024.0,EN,FT,Data Analyst,USD,US,0.0,US,M,203280
94,2024.0,MI,FT,Data Analytics Manager,USD,US,2.0,,M,150000
95,2024.0,SE,,Data Engineer,USD,US,,US,M,136038
96,,SE,FT,Solutions Architect,USD,US,0.0,US,M,172000
99,,MI,,Manager,USD,US,,,M,100000
100,,SE,,Quantitative Analyst,USD,US,2.0,US,M,183300
101,2024.0,SE,FT,Data Architect,USD,US,0.0,US,,363000
102,2024.0,MI,FT,Machine Learning Engineer,USD,US,,US,,223000
104,2024.0,SE,,Machine Learning Engineer,USD,,0.0,US,M,181000
